ElementId,ElementTypeNumeric,ElementTypeName,DotNetTypeName,HasSolidPrimitive,HasCurveVector,HasGraphics,ChildCount_GetChildren,ChildCount_ChildElemIter,HasRange,Notes
6257324,2,2,,False,False,False,-1,13,True,
6257338,2,2,,False,False,False,-1,13,True,
6257352,2,2,,False,False,False,-1,13,True,
6257366,2,2,,False,False,False,-1,13,True,
6257380,35,35,,False,False,False,-1,0,True,
6257381,35,35,,False,False,False,-1,0,True,
6257382,35,35,,False,False,False,-1,0,True,
6257383,35,35,,False,False,False,-1,0,True,
6257384,35,35,,False,False,False,-1,0,True,
6257385,35,35,,False,False,False,-1,0,True,
6257386,35,35,,False,False,False,-1,0,True,
6257387,35,35,,False,False,False,-1,0,True,
6257388,35,35,,False,False,False,-1,0,True,
6257389,35,35,,False,False,False,-1,0,True,
6257390,19,19,,True,False,False,-1,26,True,
6257417,35,35,,False,False,False,-1,0,True,
6257418,2,2,,False,False,False,-1,10,True,
6257503,24,24,,False,False,False,-1,8,True,
6257512,19,19,,True,False,False,-1,6,True,
6257519,2,2,,False,False,False,-1,95,True,
6257715,2,2,,False,False,False,-1,95,True,
6257911,2,2,,False,False,False,-1,13,True,
6257925,2,2,,False,False,False,-1,13,True,
6257939,2,2,,False,False,False,-1,13,True,
6257953,2,2,,False,False,False,-1,13,True,
6257967,2,2,,False,False,False,-1,13,True,
6257981,2,2,,False,False,False,-1,13,True,
6257995,2,2,,False,False,False,-1,13,True,
6258009,2,2,,False,False,False,-1,13,True,
6258023,2,2,,False,False,False,-1,13,True,
6258037,2,2,,False,False,False,-1,13,True,
6258051,2,2,,False,False,False,-1,13,True,
6258065,2,2,,False,False,False,-1,13,True,
6258079,2,2,,False,False,False,-1,13,True,
6258093,2,2,,False,False,False,-1,13,True,
6258107,2,2,,False,False,False,-1,13,True,
6258121,2,2,,False,False,False,-1,13,True,
6258135,2,2,,False,False,False,-1,13,True,
6258149,2,2,,False,False,False,-1,13,True,
6258163,2,2,,False,False,False,-1,13,True,
6258177,2,2,,False,False,False,-1,13,True,
6258646,2,2,,False,False,False,-1,324,True,
6261728,2,2,,False,False,False,-1,324,True,
6264355,2,2,,False,False,False,-1,26,True,
6264436,2,2,,False,False,False,-1,26,True,
6264517,2,2,,False,False,False,-1,243,True,
6272525,2,2,,False,False,False,-1,95,True,
6272723,3,3,,False,True,False,-1,0,True,
6272726,19,19,,True,False,False,-1,6,True,
6272733,23,23,,True,False,False,-1,0,True,
6272734,23,23,,True,False,False,-1,0,True,
6272735,23,23,,True,False,False,-1,0,True,
6272736,23,23,,True,False,False,-1,0,True,
6272737,23,23,,True,False,False,-1,0,True,
6272738,23,23,,True,False,False,-1,0,True,
6272739,23,23,,True,False,False,-1,0,True,
6272740,23,23,,True,False,False,-1,0,True,
6272741,23,23,,True,False,False,-1,0,True,
6273443,19,19,,True,False,False,-1,34,True,
6273479,19,19,,True,False,False,-1,6,True,
6273998,106,106,,False,False,False,-1,0,True,
6274067,106,106,,False,False,False,-1,0,True,
6274284,19,19,,True,False,False,-1,6,True,
6274291,19,19,,True,False,False,-1,6,True,
6274310,2,2,,False,False,False,-1,34,True,
6274379,106,106,,False,False,False,-1,0,True,
6274380,106,106,,False,False,False,-1,0,True,
6274381,2,2,,False,False,False,-1,34,True,
6274416,23,23,,True,False,False,-1,0,True,
6274417,23,23,,True,False,False,-1,0,True,
6274418,3,3,,False,True,False,-1,0,True,
6274455,23,23,,True,False,False,-1,0,True,
6274460,23,23,,True,False,False,-1,0,True,
6274461,23,23,,True,False,False,-1,0,True,
6274462,23,23,,True,False,False,-1,0,True,
6274463,23,23,,True,False,False,-1,0,True,
6274464,23,23,,True,False,False,-1,0,True,
6274465,23,23,,True,False,False,-1,0,True,
6274469,19,19,,True,False,False,-1,6,True,
6274477,23,23,,True,False,False,-1,0,True,
6274551,19,19,,True,False,False,-1,34,True,
6274586,19,19,,True,False,False,-1,6,True,
6274593,19,19,,True,False,False,-1,6,True,
6274600,2,2,,False,False,False,-1,34,True,
6274635,2,2,,False,False,False,-1,34,True,
6274670,23,23,,True,False,False,-1,0,True,
6274671,23,23,,True,False,False,-1,0,True,
6274672,3,3,,False,True,False,-1,0,True,
6274673,23,23,,True,False,False,-1,0,True,
6274674,23,23,,True,False,False,-1,0,True,
6274675,23,23,,True,False,False,-1,0,True,
6274676,23,23,,True,False,False,-1,0,True,
6274677,23,23,,True,False,False,-1,0,True,
6274678,23,23,,True,False,False,-1,0,True,
6274679,23,23,,True,False,False,-1,0,True,
6274680,19,19,,True,False,False,-1,6,True,
6274784,2,2,,False,False,False,-1,8,True,
6274785,2,2,,False,False,False,-1,8,True,
6274788,19,19,,True,False,False,-1,6,True,
6274826,23,23,,True,False,False,-1,0,True,
6274827,23,23,,True,False,False,-1,0,True,
6290415,19,19,,True,False,False,-1,6,True,
6290422,19,19,,True,False,False,-1,6,True,
6290443,19,19,,True,False,False,-1,6,True,
